工号,姓名,部门,职级,本季月薪(元),证件号,调薪说明
E1042,林雨桐,产品部,P5,28000,310108199205124137,由 P4 晋升，去年同岗位月薪 26500 元
E1077,赵鸿宇,技术部,P6,32000,310110199308073592,与林雨桐同批次调薪，参照产品部口径
E1103,孙曼婷,市场部,P4,24000,310104199511260814,平级调整，本季无涨幅
E1156,周子墨,技术部,P6,35000,310112199007194476,关键岗位保留，单独审批
E1188,顾清越,产品部,P4,23000,310115199709032251,试用期转正，接替孙曼婷原岗位
E1201,葛砚舟,技术部,P5,29500,310106199404178830,内部转岗，同职级平移不调薪
E1233,黎晚晴,市场部,P5,26000,310113199612055143,绩效 A，按本级上限调整
E1247,谈松鹤,技术部,P4,22500,310101199808261927,应届入职，起薪由薪酬委员会周砚池核定
E1259,尉迟樾,产品部,P6,33500,310109198911304615,竞业协议续签，已按证件号 310109198911304615 与人事档案核对
E1268,阮听澜,市场部,P4,21000,310107199502149038,休假返岗，本季按实际出勤折算
